;A Offset    B Offset     C Offset     Diameter     Fnt Ang      Bak Ang      Pocket Orient Tool   U Offset     V Offset     W Offset     X Offset     Y Offset     Z Offset     Remark
A+0.000000   B+0.000000   C+0.000000   D+1.000000   I+0.000000   J+0.000000   P1     Q1     T1     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+0.000000   ; 1/8" END MILL 0.010" corner radius
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P2     Q1     T2     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+0.000000   ; 1/4" 2FL END MILL
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P3     Q1     T3     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+1.000000   ; .375 ACCUPRO EM
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P4     Q1     T4     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+1.000000   ; 1/2" 2FL HERTEL EM
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P5     Q1     T5     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+2.000000   ; No. 7 TAP DRILL (1/4-20)
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P6     Q1     T6     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+1.000000   ; #59 ORIFICE DRILL
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P7     Q1     T7     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+2.000000   ; 1/4" DRILL
A+0.000000   B+0.000000   C+0.000000   D+2.000000   I+0.000000   J+0.000000   P8     Q1     T8     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+2.000000   ; FACE MILL
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P9     Q1     T9     U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+1.000000   ; 1/4" BALL MILL
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P10    Q1     T10    U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+2.000000   ; coolest tool ever
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P11    Q1     T11    U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+3.000000   ; 1/2" roughing end mill
A+0.000000   B+0.000000   C+0.000000   D+2.000000   I+0.000000   J+0.000000   P12    Q1     T12    U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+4.000000   ; big khauna cutter
A+0.000000   B+0.000000   C+0.000000   D+0.000000   I+0.000000   J+0.000000   P13    Q1     T99    U+0.000000   V+0.000000   W+0.000000   X+0.000000   Y+0.000000   Z+1.000000   ; PROBE TOOL
